ID,Title,Question,Answer,Chapter
463,Impact de l'inflation sur les entreprises,Pourquoi l'inflation est-elle néfaste pour les bénéfices des entreprises?,"Elle augmente les coûts des stocks et de la main-d'œuvre, comprimant les bénéfices si les entreprises ne peuvent répercuter ces coûts sur les consommateurs.",13
464,Classification des secteurs,Comment un analyste classe-t-il les secteurs par cycle de vie?,"Par phases de croissance naissante, de croissance, de maturité, et de déclin.",13
465,Secteur en croissance,Qu'est-ce qu'un secteur en croissance et ses caractéristiques financières?,"Un secteur où les ventes et bénéfices augmentent rapidement, souvent avec des flux de trésorerie négatifs en raison de coûts d'expansion élevés.",13
466,Cinq forces de Porter,Quels sont les cinq forces de la concurrence de Porter?,"La menace de nouveaux concurrents, l'intensité de la concurrence, la menace des produits de remplacement, le pouvoir des acheteurs et le pouvoir des fournisseurs.",13
467,Classification des secteurs économiques,Comment les secteurs sont-ils classés en fonction du cycle économique?,"En secteurs cycliques, défensifs et spéculatifs.",13
468,Secteur cyclique,Qu'est-ce qu'un secteur cyclique?,"Un secteur dont le bénéfice fluctue avec l’économie, comme les matières premières.",13
469,Valeur sûre,Qu'est-ce qu'une valeur sûre?,"Une action d'entreprise dominante et stable qui génère des bénéfices réguliers, même en période de récession.",13
470,Analyse des graphiques,En quoi consiste l'analyse de graphiques en analyse technique?,L'étude de la représentation graphique de l'évolution des cours pour identifier les niveaux de soutien et de résistance.,13
471,Niveau de soutien,Qu’est-ce que le niveau de soutien?,"Le prix plancher auquel les investisseurs reconnaissent la valeur du titre, stimulant ainsi la demande.",13
472,Modèle d'inversion,Qu’est-ce qu’un modèle d’inversion en analyse technique?,"Un schéma graphique indiquant un renversement potentiel de la tendance du cours, comme la formation tête-épaules.",13
473,Moyenne mobile,Comment la moyenne mobile est-elle utilisée dans l’analyse technique?,Pour lisser les cours et révéler les tendances à long terme en comparant le cours actuel à la moyenne mobile.,13
474,Indicateurs psychologiques,Quels sont les indicateurs psychologiques dans l’analyse technique?,Des outils évaluant les attentes des investisseurs pour détecter les signaux de surachat ou de survente.,13
475,Analyse de cycle,Comment l'analyse de cycle aide-t-elle dans l'analyse technique?,Elle prévoit quand le marché atteindra un sommet ou un creux selon des cycles spécifiques.,13
476,Triangle symétrique,Qu’est-ce qu’un triangle symétrique en analyse graphique?,Un modèle de continuité où le cours évolue dans une fourchette étroite avant une rupture haussière ou baissière.,13
477,Complémentarité analyse fondamentale et technique,Comment l'analyse fondamentale et l'analyse technique peuvent-elles se compléter?,"L'analyse fondamentale peut indiquer la perspective à long terme, tandis que l'analyse technique détermine le moment optimal pour acheter ou vendre.",13
478,Formations tête-épaules,Quelle est la différence entre une formation tête-épaules inversée et une formation tête-épaules à l’endroit?,"La première signale un creux et une possible hausse, la seconde un sommet et une possible baisse.",13
479,Types de cycles,Quels cycles l’analyse de cycle prend-elle en compte?,"Les cycles longs, saisonniers, primaires et intermédiaires, et les cycles de négociation.",13
480,Hypothèse du marché efficient,Quelles sont les trois variantes de l'hypothèse du marché efficient ?,"Forme faible, forme semi-forte, forme forte.",13
481,Hypothèses de l'analyse technique,Quelles sont les trois hypothèses sur lesquelles repose l'analyse technique?,"Tous les facteurs influant sur le comportement du marché sont pris en compte instantanément, les variations de cours suivent des tendances, et le passé se répète.",13
482,Secteurs nouveaux en croissance,"Comment décririez-vous un """"secteur nouveau en croissance"""" et quelle est la différence avec un secteur en croissance ?","Secteur nouveau en croissance (pas rentable mais prometteuse), secteur en croissance (rentable et réinvestissement).",13
483,Modèles de continuité,"Qu'est-ce qu'un """"modèle de continuité"""" ?","Modèle de continuité vs modèle d’inversion. Inversion: tête et épaule, double sommet; continuité: ligne de tendance, triangle symétrique.",13
484,Méthodes d'analyse technique,Quelles sont les quatre méthodes utilisées par les analystes techniques pour identifier les tendances et les points d'inflexion potentiels ?,"Analyse des graphiques, analyse quantitative, analyse d’indicateurs psychologiques, analyse de cycle.",13
485,Objectifs de l'analyse de sociétés,Quels sont les principaux objectifs de l'analyse de sociétés?,"Évaluer les risques et les opportunités d'investissement en analysant la rentabilité, les états financiers, et la santé globale de l'entreprise.",14
486,Indicateurs financiers,Quels sont les indicateurs financiers importants dans l'analyse des états financiers?,"Le produit, les charges d'exploitation, les dividendes versés, et la marge bénéficiaire brute.",14
487,Croissance du produit,Pourquoi la croissance du produit d'une entreprise est-elle cruciale pour les investisseurs?,"Elle indique la capacité de l'entreprise à augmenter ses revenus, ce qui est favorable pour les placements.",14
488,Marge bénéficiaire brute élevée,Qu'est-ce qu'une marge bénéficiaire brute élevée indique sur une entreprise?,"Elle montre une gestion efficace des coûts, permettant une meilleure rentabilité future.",14
489,Risques de baisse de la marge,Quels sont les risques associés à une marge bénéficiaire brute en baisse?,"Cela peut indiquer des difficultés à contrôler les coûts, affectant la rentabilité.",14
490,Ratio de couverture des intérêts,Qu'est-ce que le ratio de couverture des intérêts et pourquoi est-il significatif?,"Il mesure la capacité de l'entreprise à payer ses intérêts sur la dette, important pour évaluer sa solvabilité.",14
491,Ratio de liquidité,Qu'est-ce qu'un ratio de liquidité et que révèle-t-il sur une entreprise?,"Il montre la capacité d'une entreprise à payer ses obligations à court terme, essentiel pour évaluer la liquidité.",14
492,Ratio capitaux empruntés-capitaux propres,Comment le ratio capitaux empruntés-capitaux propres est-il interprété?,"Un ratio élevé peut indiquer un endettement excessif, augmentant le risque financier.",14
493,Ratio de distribution des dividendes,Qu'est-ce que le ratio de distribution des dividendes?,Il indique la part du bénéfice net distribuée aux actionnaires sous forme de dividendes.,14
494,Bénéfice par action (BPA),Pourquoi le bénéfice par action ordinaire (BPA) est-il important?,"Il mesure le bénéfice généré pour chaque action ordinaire, influençant la valeur de l'action.",14
495,Types de ratios financiers,Quels types de ratios sont utilisés pour évaluer le rendement des titres d'une entreprise?,Le ratio cours-bénéfice et le rendement des actions.,14
496,Structure du capital,Quelle est l'importance de la structure du capital dans l'analyse de sociétés?,"Elle aide à comprendre la proportion de financement par dette et par capitaux propres, influençant la stabilité financière.",14
497,Ratio de liquidité relative,Qu'est-ce que le ratio de liquidité relative et comment est-il calculé?,"Il montre la capacité de l'entreprise à couvrir ses passifs à court terme avec des actifs liquides, excluant les stocks.",14
498,Ratios de tendance,Pourquoi les ratios de tendance sont-ils utilisés?,Pour comparer les performances financières au fil du temps et identifier les évolutions positives ou négatives.,14
499,Signes d'alerte financiers,Quels sont les signes d'alerte dans les états financiers d'une entreprise?,"Changements de méthodes comptables, augmentation du passif à court terme, ou bénéfices non soutenus par les flux de trésorerie.",14
500,Effet de levier et rendement des capitaux propres,Comment l'effet de levier peut-il impacter le rendement des capitaux propres?,"Il augmente la volatilité des bénéfices en fonction de l'impact des dettes, influençant ainsi la rentabilité pour les actionnaires.",14
501,Liquidité des actions,Pourquoi est-il important de suivre la liquidité des actions d'une entreprise?,"Une bonne liquidité permet des transactions sans impact significatif sur le cours de l'action, essentiel pour les investisseurs institutionnels.",14
502,Analyse qualitative,En quoi l'analyse qualitative complète-t-elle l'analyse quantitative dans l'analyse de sociétés?,Elle évalue des éléments subjectifs comme la qualité de la gestion et la réputation de l'entreprise.,14
503,Marge bénéficiaire nette,Qu'est-ce qu'une analyse de la marge bénéficiaire nette?,C'est un indicateur de l'efficacité de la gestion après déduction de toutes les charges et taxes.,14
504,Effet de levier et bénéfices,Comment l'effet de levier peut-il amplifier les bénéfices ou les pertes d'une entreprise?,"En augmentant les rendements lorsque l'économie est favorable, mais aussi les pertes lors d'un ralentissement économique.",14
505,Ratio de rotation des stocks,Pourquoi le ratio de rotation des stocks est-il particulièrement important pour certaines entreprises?,"Il évalue l'efficacité de la gestion des stocks, crucial dans les secteurs à forte rotation comme l'alimentation.",14
506,Couverture par l'actif,Qu'est-ce que la couverture par l'actif et pourquoi est-elle analysée?,Elle montre la capacité d'une entreprise à rembourser sa dette avec ses actifs corporels.,14
507,Notes aux états financiers,Quelles informations importantes peut-on obtenir des notes aux états financiers?,"Les changements de méthodes comptables, les acquisitions en cascade, et les autres éléments qui peuvent affecter les bénéfices.",14
508,Comparaison avec normes sectorielles,En quoi la comparaison avec les normes sectorielles est-elle utile dans l'analyse de sociétés?,"Elle permet de voir si l'entreprise performe au-dessus, en ligne ou en dessous des moyennes de son secteur.",14
509,Ratio de couverture des intérêts,Qu'est-ce qu'un bon ratio de couverture des intérêts pour une entreprise de commerce de détail?,"Un ratio supérieur à trois fois les intérêts annuels, indiquant une bonne marge de sécurité.",14
510,Changement de vérificateurs,Comment un changement de vérificateurs peut-il être interprété dans les états financiers?,"Cela peut signaler un désaccord avec la direction concernant le traitement de certaines opérations, nécessitant une investigation.",14
511,Rendement des actions,Quel est le ratio de rendement des actions ou rendement boursier et pourquoi est-il important?,"C'est le pourcentage de rendement tiré des dividendes par rapport au cours de l'action, comparant la rentabilité d'un investissement en actions.",14
512,Diversification,Qu'est-ce que la diversification et pourquoi est-elle utilisée dans la gestion de portefeuille?,La diversification consiste à combiner divers placements dans un portefeuille pour réduire le risque global sans sacrifier le rendement espéré.,15
513,Stratégies de gestion de portefeuille,Quelles sont les deux stratégies principales de gestion de portefeuille?,"La stratégie active, qui vise à surpasser le marché, et la stratégie passive, qui vise à répliquer les rendements d'un indice.",15
514,Rendement ex-ante vs ex-post,Quelle est la différence entre un rendement ex-ante et un rendement ex-post?,"Le rendement ex-ante est attendu ou prévisionnel, tandis que le rendement ex-post est un rendement historique réel.",15
515,Taux de rendement réel,Qu'est-ce que le taux de rendement réel et comment est-il calculé?,"C'est le rendement ajusté pour l'inflation, calculé en soustrayant le taux d'inflation du taux nominal.",15
516,Écart type et risque,Comment un investisseur utilise-t-il l'écart type dans l'évaluation du risque d'un titre?,L'écart type mesure la volatilité du rendement; un écart type élevé indique un risque plus élevé.,15
517,Coëfficient bêta,Qu'est-ce que le coefficient bêta et que représente-t-il?,Le coefficient bêta mesure la volatilité d'un titre par rapport au marché; un bêta de 1 signifie que le titre suit le marché.,15
518,Bêta et construction de portefeuille,Comment le coefficient bêta peut-il aider dans la construction d’un portefeuille?,Il permet de sélectionner des titres avec des risques alignés sur la tolérance au risque et les objectifs du portefeuille.,15
519,Obligations vs actions,Pourquoi les obligations sont-elles moins risquées que les actions dans un portefeuille?,"Elles offrent un revenu fixe et sont moins volatiles, réduisant ainsi le risque total.",15
520,Taux de rendement d'un portefeuille,Quelle est la formule du taux de rendement d’un portefeuille?,Le rendement du portefeuille est la moyenne pondérée des rendements des titres qu'il contient.,15
521,Corrélation et diversification,Pourquoi la corrélation entre les titres est-elle importante dans la diversification?,Une corrélation faible ou négative entre les titres réduit le risque global du portefeuille.,15
522,Portefeuille efficient,Qu'est-ce qu'un portefeuille efficient selon la théorie moderne du portefeuille?,Un portefeuille offrant le rendement maximal pour un niveau de risque donné ou le risque minimal pour un rendement donné.,15
523,Achat-conservation vs indexation,En quoi la stratégie d’achat-conservation diffère-t-elle de l’indexation?,"L’achat-conservation consiste à garder des titres sur le long terme, tandis que l’indexation réplique la composition d’un indice.",15
524,Gestion passive,Pourquoi certains investisseurs choisissent-ils la gestion passive?,Pour minimiser les coûts et suivre les rendements du marché sans tenter de le surpasser.,15
525,Risques diversifiables,Quels types de risques peuvent être réduits par la diversification?,"Les risques non systématiques, comme les risques d'entreprise spécifiques.",15
526,Rotation sectorielle,Qu'est-ce que la rotation sectorielle et pourquoi est-elle utilisée?,Une stratégie visant à investir dans les secteurs les plus prometteurs en fonction du cycle économique.,15
527,Gestion axée sur la croissance,Quels sont les avantages de la gestion de portefeuille axée sur la croissance?,"Un potentiel de croissance plus élevé, souvent en période de marché haussier.",15
528,Inconvénients de la gestion axée sur la valeur,Quels sont les inconvénients de la gestion axée sur la valeur?,"Les titres de valeur peuvent rester sous-évalués longtemps, nécessitant patience et tolérance au risque.",15
529,Risque systématique vs non systématique,Comment le risque systématique diffère-t-il du risque non systématique?,"Le risque systématique affecte l'ensemble du marché, tandis que le risque non systématique est spécifique à des titres ou secteurs particuliers.",15
530,Taux hors risque,Pourquoi le taux hors risque est-il important dans l’évaluation des placements?,"Il représente le rendement minimum attendu, souvent associé aux bons du Trésor.",15
531,Gestion axée sur la croissance,Qu'est-ce qu'un style de gestion axé sur la croissance?,"Un style qui privilégie les titres avec des bénéfices en hausse, souvent avec un potentiel de gain en capital.",15
532,Risques des placements étrangers,Quels sont les principaux risques associés aux placements étrangers?,"Les risques de change, de liquidité et de régulations étrangères.",15
533,Gestion des taux d'intérêt,En quoi consiste la gestion basée sur les prévisions de taux d'intérêt?,Ajuster l’échéance des obligations pour maximiser le rendement en fonction des prévisions sur les taux d'intérêt.,15
534,Rendement espéré,Qu'est-ce qu'un rendement espéré dans le contexte d'un portefeuille?,Le rendement moyen anticipé basé sur les pondérations et les rendements des titres du portefeuille.,15
535,Risques de rotation sectorielle,Quels risques sont associés à une stratégie de rotation de secteurs?,Une forte volatilité due à la concentration sur un secteur et un risque élevé si les prévisions sont incorrectes.,15
536,Évaluation des actions par croissance,Comment un gestionnaire axé sur la croissance évalue-t-il les actions?,En se basant sur le potentiel de croissance des bénéfices et en acceptant des ratios cours/bénéfice plus élevés.,15
537,Portefeuille à revenu fixe,Qu’est-ce qu’un portefeuille à revenu fixe et quels titres le composent typiquement?,"Un portefeuille axé sur les titres comme les obligations, offrant des revenus réguliers et stables.",15
538,Volatilité comme mesure de risque,Pourquoi la volatilité est-elle une mesure de risque importante pour un investisseur?,"Elle montre la variation potentielle du rendement, indiquant ainsi le risque de pertes importantes.",15
539,Arbitrage lié à la duration,En quoi consiste l’arbitrage lié à la duration dans un portefeuille d’obligations?,Ajuster la durée des obligations pour bénéficier des fluctuations des taux d’intérêt.,15
540,Analyse descendante,Qu'est-ce que l’analyse descendante dans une stratégie active?,Analyser d’abord les conditions macroéconomiques avant de sélectionner des titres individuels.,15
541,Diversification et risque non systématique,Comment la diversification réduit-elle le risque non systématique dans un portefeuille?,"En ajoutant des titres avec des caractéristiques de risque différentes, diminuant ainsi l'impact des fluctuations individuelles.",15
542,Approches de la gestion passive,Quelles sont les deux approches d'une stratégie d'investissement passive ?,"Achat conservation, Indexation",15
543,Rendement ex-ante et ex-post,"Quelle est la différence entre un """"rendement ex ante"""" et un """"rendement ex post"""" ?","Ex-ante = rendement espéré ou prévisionnel, Ex-post = rendement réalisé",15
544,Risque systématique vs non systématique,"Quelle est la différence entre le """"risque systématique"""" et le """"risque non systématique"""" ?","Risque systématique = risque du marché, non diversifiable, Risque non systématique = risque spécifique d’une entreprise ou d’un catégorie de titre qui n’est pas relié avec l’ensemble du marché",15
545,Étapes de gestion de portefeuille,Quelles sont les sept étapes fondamentales du processus de gestion de portefeuille?,"Déterminer les objectifs et contraintes de placement, élaborer un énoncé de politique de placement, déterminer la combinaison des avoirs, sélectionner les titres, surveiller la situation du client et l'économie, évaluer le rendement, et rééquilibrer le portefeuille.",16
546,Processus continu,Pourquoi la gestion de portefeuille est-elle un processus continu?,"Parce que les marchés financiers et la situation personnelle des clients changent constamment, nécessitant des ajustements réguliers.",16
547,Énoncé de politique de placement,Qu'est-ce qu'un énoncé de politique de placement et quelle est son utilité?,"C'est une entente définissant comment gérer les actifs d'un client, incluant des directives spécifiques, et servant de référence pour le conseiller et le client.",16
548,Objectifs de placement,Quels sont les trois objectifs principaux de placement?,"Sécurité du capital, revenu, et croissance du capital.",16
549,Contraintes de placement,Quelles sont les contraintes de placement souvent rencontrées?,"L’horizon de placement, les besoins de liquidité, les exigences fiscales, les contraintes juridiques et réglementaires, et les préférences du client.",16
550,Horizon de placement,Pourquoi l'horizon de placement est-il crucial pour élaborer un portefeuille?,Il aide à aligner la stratégie de placement avec les objectifs de vie et les besoins financiers futurs du client.,16
551,Allocation stratégique des actifs,Qu'est-ce qu'une répartition stratégique des actifs?,"C'est la répartition cible à long terme entre diverses catégories d’actifs dans un portefeuille, destinée à rester stable dans le temps.",16
552,Impact de la répartition des actifs,Comment la répartition des actifs affecte-t-elle le rendement d'un portefeuille?,Elle influence les variations globales du rendement en fonction de la pondération de chaque catégorie d’actifs.,16
553,Catégories d'actifs,Quelles sont les principales catégories d'actifs dans un portefeuille?,"Les espèces, les titres à revenu fixe, et les actions.",16
554,Diversification,Qu'est-ce que la diversification dans le contexte de la gestion de portefeuille?,Une stratégie visant à répartir les investissements pour réduire le risque global sans diminuer le rendement espéré.,16
555,Titres spéculatifs,Pourquoi un investisseur peut-il choisir d'inclure des titres spéculatifs dans un portefeuille?,"Pour rechercher un rendement plus élevé, bien qu'ils comportent un risque important.",16
556,Allocation dynamique des actifs,Qu'est-ce que la répartition dynamique des actifs?,Un rééquilibrage systématique de la répartition pour maintenir les pourcentages cibles en fonction de la répartition stratégique.,16
557,Ratio de Sharpe,Pourquoi le ratio de Sharpe est-il utile dans l'évaluation des portefeuilles?,"Il mesure le rendement excédentaire d'un portefeuille ajusté en fonction du risque, permettant de comparer plusieurs portefeuilles.",16
558,Allocation tactique vs stratégique,Quelle est la différence entre la répartition tactique et stratégique des actifs?,"La répartition stratégique est à long terme, tandis que la tactique permet des ajustements à court terme pour saisir des opportunités de marché.",16
559,Surveillance de portefeuille,Pourquoi la surveillance du portefeuille est-elle essentielle?,Pour s’assurer que le portefeuille reste aligné sur les objectifs du client et s'adapte aux changements du marché.,16
560,Objectifs de rendement et de risque,Quelles questions doit-on se poser lors de l'évaluation des objectifs de rendement et de risque d'un client?,Quel rendement est nécessaire pour atteindre les objectifs et quel niveau de risque le client est-il prêt à assumer?,16
561,Inflation,Comment l'inflation peut-elle affecter la stratégie de gestion de portefeuille?,"Elle peut réduire le pouvoir d'achat du client, nécessitant des ajustements pour protéger contre l'inflation.",16
562,Liquidité,Pourquoi la liquidité est-elle un objectif secondaire pour certains investisseurs?,Parce que certains investisseurs peuvent avoir besoin de convertir rapidement leurs placements en espèces pour répondre à des besoins immédiats.,16
563,Portefeuille efficient,Qu'est-ce qu'un portefeuille efficient?,Un portefeuille offrant le rendement maximal pour un risque donné ou le risque minimal pour un rendement donné.,16
564,Cycle économique,Comment le cycle économique influence-t-il la sélection des catégories d'actifs?,"Les actions, obligations et espèces sont pondérées différemment en fonction des prévisions économiques et des taux d'intérêt.",16
565,Placements non traditionnels,Quels types de placements non traditionnels peuvent être inclus dans un portefeuille diversifié?,"Objets de collection, marchandises, produits dérivés, fonds de couverture, métaux précieux, et immobilier.",16
566,Tolérance au risque,Comment un conseiller peut-il évaluer la tolérance au risque d'un client?,"Par des questionnaires, entretiens, et discussions pour comprendre la disposition et la capacité du client à prendre des risques.",16
567,Rééquilibrage de portefeuille,Pourquoi est-il important de rééquilibrer un portefeuille?,"Pour ramener les poids des catégories d’actifs aux cibles définies, évitant une exposition trop élevée dans une catégorie.",16
568,Allocation constante des actifs,Qu'est-ce que la répartition constante des actifs?,Une stratégie de rééquilibrage où l’on ajuste régulièrement le portefeuille pour qu'il corresponde aux pondérations initiales.,16
569,Facteurs économiques surveillés,Quels sont les principaux facteurs économiques surveillés pour ajuster un portefeuille?,"Politique monétaire, prévisions du PIB, inflation, et tendances sectorielles.",16
570,Importance de la combinaison d'avoirs,Pourquoi le choix d'une combinaison d'avoirs est-il l'étape la plus importante du processus de gestion de portefeuille?,Il impacte fortement le rendement global du portefeuille en fonction des objectifs de placement.,16
571,Allocation tactique,Quels critères peuvent inciter à un rééquilibrage tactique des actifs?,"Les mouvements de marché extrêmes, les opportunités de rendement à court terme, ou les variations des taux d’intérêt.",16
572,Contraintes fiscales,Comment les contraintes fiscales influencent-elles la gestion de portefeuille?,"Elles déterminent la répartition des revenus d’intérêts, de dividendes, et de gains en capital pour optimiser la fiscalité.",16
573,Échelonnement obligataire,"Dans le cadre de la construction d'un portefeuille obligataire,  que signifie le terme """"échelonnement"""" ?",La diversification des échéances ou des durées des titres du portefeuille,16
574,Répartition tactique d'actifs,Quelle technique de répartition d'actifs consiste à modifier temporairement la répartition des actifs d'un portefeuille afin de profiter d'opportunités d'investissement dans une catégorie d'actifs,Répartition tactique,16
575,Taux d'intérêt et cycle des actions,Dans quelle phase du cycle des actions les taux d'intérêt baissent-ils ?,Le creux,16
576,Alpha élevé ou faible,Un investisseur prudent préfère-t-il un alpha élevé ou faible ?,"Peu importe sa tolérance de risque, un investisseur veut toujours maximiser le alpha de son portefeuille",16
577,Horizon d'investissement,Comment mesure-t-on généralement l'horizon d'investissement d'un client ?,En fonction des événements ou changements importants dans la situation du client.,16
578,Ratio de Sharpe négatif,Est-il possible qu'un portefeuille ait un ratio de Sharpe négatif ?,"Oui si le rendement du portefeuille est négatif, le ratio sharpe sera également négatif",16
579,Fonds commun de placement,Qu'est-ce qu'un fonds commun de placement?,"Un instrument de placement qui regroupe l'argent de nombreux investisseurs pour acheter un portefeuille diversifié de titres, géré par des professionnels.",17
580,Avantages des produits gérés,Quels sont les avantages principaux des produits gérés?,"Gestion professionnelle, économies d'échelle, diversification à faible coût, liquidité et souplesse, et avantages fiscaux.",17
581,Gestion active,Qu'est-ce que la gestion active dans les fonds communs de placement?,Un style de gestion où le gestionnaire prend des décisions pour essayer de surpasser un indice de référence.,17
582,Gestion active vs passive,Quelle est la différence entre la gestion active et la gestion passive?,"La gestion active cherche à surpasser le marché, tandis que la gestion passive réplique un indice sans intervention active.",17
583,Produits gérés,Quels types de produits sont classés comme produits gérés?,"Fonds communs de placement, FNB, fonds distincts, fonds de couverture, et sociétés d’investissement à capital fixe.",17
584,Avantages des FCP,Quels sont les avantages des fonds communs de placement pour les petits investisseurs?,"Accès à un portefeuille diversifié, gestion professionnelle, et possibilité d'investir de petites sommes.",17
585,Liquidité des FCP,Pourquoi la liquidité est-elle un avantage des fonds communs de placement?,Les investisseurs peuvent vendre leurs parts à tout moment pour obtenir des espèces rapidement.,17
586,Frais associés aux FCP,Quels frais peuvent être associés aux fonds communs de placement?,"Frais d’acquisition à la souscription, frais de gestion, frais de suivi, et frais de rétrocession prématurée.",17
587,Calcul de la VLP,Comment la valeur liquidative par part (VLP) est-elle calculée?,En soustrayant le passif total de l'actif total et en divisant par le nombre total de parts en circulation.,17
588,Frais de gestion élevés,Quels types de fonds sont généralement plus coûteux en frais de gestion?,"Les fonds d’actions gérés activement, avec des frais de gestion allant de 2 % à 3 %.",17
589,Ratio des frais de gestion,Qu'est-ce que le ratio des frais de gestion (RFG)?,Un pourcentage qui représente les frais de gestion annuels par rapport à la valeur liquidative moyenne du fonds.,17
590,Impact des frais de suivi,Comment les frais de suivi affectent-ils le rendement des fonds communs de placement?,"Ils augmentent les frais de gestion, réduisant le rendement net pour l'investisseur.",17
591,Frais de rétrocession,Pourquoi certains fonds imposent-ils des frais de rétrocession prématurée?,Pour décourager la négociation à court terme et récupérer les frais administratifs.,17
592,Inconvénients des FCP,Quels sont les inconvénients potentiels des fonds communs de placement?,"Coûts élevés, manque de transparence, volatilité des rendements, et complications fiscales.",17
593,Documents d'information des FCP,Quels sont les documents d'information obligatoires pour les fonds communs de placement?,"L’aperçu du fonds, le prospectus simplifié, la notice annuelle, et les états financiers.",17
594,"Règle """"Bien connaître son client""""","Qu'est-ce que la règle """"Bien connaître son client"""" dans le cadre des fonds communs de placement?",Une règle imposant aux conseillers de bien comprendre le profil et les besoins d'investissement du client.,17
595,Fonction du dépositaire,Quelle est la fonction d'un dépositaire dans un fonds commun de placement?,"Recevoir les fonds des investisseurs, gérer les paiements de dividendes, et conserver les titres en portefeuille.",17
596,Aperçu du fonds,Qu'est-ce que l’aperçu du fonds?,"Un document fournissant des informations clés sur un fonds, y compris ses objectifs, ses risques, et ses frais.",17
597,Norme canadienne 81-101,Quelles sont les exigences de la Norme canadienne 81-101?,Exigences de divulgation pour le prospectus et l’aperçu du fonds des fonds communs de placement.,17
598,Fonds en fiducie vs en société,Quelle est la différence entre un fonds commun de placement constitué en fiducie et en société?,"Un fonds en fiducie peut transmettre les gains aux investisseurs sans être imposé, tandis qu'un fonds en société doit déclarer des dividendes pour réduire l'impôt.",17
599,FCP et placements à court terme,Pourquoi les fonds communs de placement peuvent-ils être incompatibles avec les placements à court terme?,En raison des frais d'acquisition initiaux et des frais de rétrocession prématurée.,17
600,BDNI,Qu'est-ce que la Base de données nationale d'inscription (BDNI)?,Un système pour gérer l'inscription des représentants et distributeurs de fonds dans chaque province.,17
601,Ratio des frais d'opération,Qu'est-ce que le ratio des frais d'opération (RFO)?,"Le pourcentage des frais de courtage payés par le fonds, exprimé en fonction de l'actif total.",17
602,Réglementation provinciale,Comment la réglementation provinciale impacte-t-elle les fonds communs de placement?,Chaque province impose des règles spécifiques et veille à la protection des investisseurs.,17
603,Droits de l'investisseur,Quels droits un investisseur a-t-il après l'achat d'un fonds?,Il peut annuler son achat dans les 48 heures suivant la confirmation et peut demander des dommages-intérêts en cas de fausse représentation.,17
604,Composantes de l'aperçu du fonds,Quelles sont les composantes principales de l’aperçu du fonds?,"Renseignements sur le fonds, risques, rendement passé, convenance, et impact fiscal.",17
605,Plan de souscriptions préautorisées,Qu'est-ce qu'un plan de souscriptions préautorisées?,Un plan permettant aux investisseurs d'acheter régulièrement des parts d'un fonds commun avec de petites sommes.,17
606,Types de retraits systématiques,Quelles sont les différents types de retraits systématiques?,"Plan de retrait à pourcentage fixe, plan de retrait à délai fixe, plan de retrait de sommes fixes, plan de retraits ajustés selon l’espérance de vie.",17
